165,250,192,250,218,250,218,273,192,273,165,273,Love
226,256,249,256,272,256,272,275,249,275,226,275,one
444,267,470,267,496,267,496,297,470,297,444,297,lov
469,78,484,78,498,78,498,95,484,95,469,95,###
250,145,264,145,278,145,278,159,264,159,250,159,###
339,325,361,325,383,325,383,340,361,340,339,340,###
350,143,362,143,373,143,373,190,362,190,350,190,###
320,317,310,252,372,233,371,259,333,276,338,313,milkshake
384,243,414,291,403,332,384,314,393,291,373,258,factory
342,495,347,540,382,558,379,572,326,544,326,484,###
391,554,399,538,397,504,409,499,421,550,399,574,###
