122,78,171,66,228,59,224,85,173,90,127,100,SELAMAT
233,58,275,56,320,59,322,79,275,78,236,83,DATANG
346,60,404,67,455,80,453,100,394,86,347,81,WELCOME
145,97,276,79,430,94,426,115,257,101,148,117,###
138,123,202,110,249,108,249,131,189,131,143,143,FIREFLY
263,105,330,106,335,126,260,125,PARK
347,108,405,112,447,122,442,143,396,133,347,128,RESORT
41,204,60,205,60,225,40,224,IN
125,216,173,216,174,226,125,227,PEMERIKSAAN
173,217,196,216,196,226,172,226,TIKET
193,217,208,218,208,229,194,227,BOT
210,216,248,216,248,228,210,228,PELAYARAN
139,227,166,225,169,238,138,238,SAILING
168,227,192,226,194,238,168,238,TICKET
195,226,234,226,236,236,197,238,INSPECTION
159,235,216,236,218,250,158,249,###
