125,75,143,59,169,49,172,59,152,69,132,85,JABATAn
177,48,202,43,232,46,230,62,204,56,182,62,WARISAN
242,49,270,59,288,73,280,85,263,72,237,64,NEGARA
105,135,105,184,117,211,104,218,91,183,93,132,KEMENTERIAn
120,217,143,242,177,260,174,272,132,252,109,225,KEBUDAYAAN
183,261,214,262,240,257,247,268,214,276,182,273,KESENIAN
246,253,255,250,268,241,277,250,263,261,252,264,DAN
272,235,288,220,299,196,312,200,300,226,284,246,WARISAN
302,187,307,163,304,140,314,133,321,166,315,195,MALAYSIA
135,125,182,125,182,135,137,135,BANGUNAN
185,124,213,125,214,135,184,135,SULTAN
214,125,241,125,242,133,213,134,ABDUL
242,124,273,127,276,135,241,135,SAMAD
172,134,238,135,240,143,172,143,###
122,153,185,152,184,167,118,166,WARISAN
187,152,281,153,282,166,188,166,KEBANGSAAN
135,182,158,182,159,192,133,192,AKTA
159,183,196,183,198,192,159,191,WARISAN
197,183,253,182,254,192,199,193,KEBANGSAAN
255,184,274,184,276,192,253,193,2005
185,192,209,192,208,201,185,202,AKTA
208,193,225,194,227,201,208,203,645
190,174,219,175,221,180,188,182,###
172,205,236,205,237,223,170,224,###
154,226,253,227,253,246,161,247,###
