393,330,593,296,589,364,383,402,Wine
359,654,299,598,279,514,315,502,333,572,409,642,EAULAFFITE
283,472,283,428,301,384,325,394,311,432,313,474,RIOJA
301,348,353,264,411,220,429,244,373,294,331,376,CHATEAU
421,206,467,172,519,152,523,178,485,196,443,232,HAUT
533,138,593,122,651,124,647,152,583,158,541,182,BAION
679,122,789,152,855,200,835,228,765,168,683,150,COONAWARRA
883,222,917,308,911,382,873,384,875,314,845,242,CHATEAU
741,590,769,562,809,522,839,544,823,570,781,594,BLAN
821,504,853,446,875,388,907,388,889,466,845,534,CHIVAL
357,576,317,502,323,440,331,394,355,402,353,460,351,504,385,556,CHATUAUST
329,374,371,292,421,256,443,278,395,326,367,388,EMITTON
441,230,497,188,565,168,577,192,511,216,457,262,BAROSSA
609,148,699,154,763,176,747,206,671,186,601,194,CHATEAU
779,178,851,256,865,320,827,330,805,256,747,204,MARGAUX
795,478,825,400,829,344,869,340,851,438,819,498,URUNELLO
647,596,707,564,771,510,795,522,733,590,661,612,CENTRAL
531,212,585,196,639,192,637,214,589,216,535,240,HUNTER
647,186,699,196,739,214,727,232,693,222,647,216,VALLEY
761,222,811,278,821,414,785,410,779,302,731,236,MARLBOROUGH
687,534,737,486,767,432,805,436,779,500,697,562,CHATEAU
541,578,605,570,667,544,689,568,619,610,533,610,MOUTON
391,494,453,562,523,578,515,616,419,584,357,508,ROTHSCHILD
435,398,775,344,733,474,419,502,Library
