182,479,209,479,236,479,236,496,209,496,182,496,WIDE
317,451,339,451,360,451,360,468,339,468,317,468,OUR
250,479,308,479,365,479,365,496,308,496,250,496,SELECTION
221,450,265,450,309,450,309,469,265,469,221,469,BROWSE
224,423,252,423,280,423,280,439,252,439,224,439,COME
367,477,380,477,393,477,393,494,380,494,367,494,OF
317,424,338,424,359,424,359,439,338,439,317,439,AND
289,423,299,423,308,423,308,439,299,439,289,439,IN
237,343,249,343,261,343,261,371,249,371,237,371,###
197,278,300,261,397,283,384,307,298,297,203,308,HAHNDORF
182,328,270,297,423,324,393,355,277,331,189,350,NEWSAGENCY
277,344,363,345,359,377,276,368,GIFTS
