308,202,332,202,356,202,356,216,332,216,308,216,WIRING
58,153,204,165,204,180,59,172,LIGHTINGFIXTURES
80,171,188,179,187,196,78,188,JAKFURNITURE
271,215,295,181,352,176,403,218,390,237,349,194,301,201,281,228,RESIDENTIALCOMMERCIAl
295,214,380,220,379,232,295,229,CONTRACTORS
205,221,392,233,392,249,200,236,HALEMOONBAYELECTRIC
212,237,293,243,293,255,208,252,ELECTRICAL
224,252,288,255,288,270,222,265,SUPPLIES
142,292,188,294,185,312,142,309,GIFTS
198,297,294,301,294,317,197,313,ACCESSORIES
205,351,246,330,248,373,205,374,loss
