114,251,144,251,174,251,174,277,144,277,114,277,ONLY
46,215,133,215,219,215,219,241,133,241,46,241,PREDESTRIANS
252,231,261,203,275,178,291,195,280,211,274,242,Greet
278,170,290,155,309,142,313,163,304,174,297,196,your
313,139,333,133,357,141,352,159,331,153,314,162,CHILD
361,145,376,157,381,175,374,181,365,170,351,164,with
391,182,400,205,401,228,392,234,387,214,378,191,SMILE
296,326,311,336,333,338,324,364,305,359,294,351,NOT
328,341,341,338,343,364,330,366,A
342,337,363,322,376,300,392,312,373,342,347,357,MOBILE
