210,456,253,456,295,456,295,474,253,474,210,474,0123771262
32,415,52,415,72,415,72,429,52,429,32,429,Dimiliki
160,459,177,459,193,459,193,475,177,475,160,475,KEY
211,171,233,171,254,171,254,189,233,189,211,189,baby
329,76,372,76,415,76,415,102,372,102,329,102,tippee
0,119,54,119,107,119,107,171,54,171,0,171,aby
133,172,150,172,167,172,167,189,150,189,133,189,love
172,172,191,172,209,172,209,189,191,189,172,189,your
319,54,371,54,423,54,423,77,371,77,319,77,tommee
108,122,165,122,222,122,222,164,165,164,108,164,love
171,419,205,419,238,419,238,432,205,432,171,432,Marketplace
131,418,150,418,168,418,168,432,150,432,131,432,Natura
242,417,254,417,266,417,266,433,254,433,242,433,Sdn
529,373,538,373,547,373,547,396,538,396,529,396,A
76,418,87,418,98,418,98,429,87,429,76,429,oleh
103,418,114,418,125,418,125,429,114,429,103,429,The
270,417,284,417,297,417,297,433,284,433,270,433,Bhd
160,447,178,447,196,447,196,460,178,460,160,460,PUBLIC
32,402,70,402,108,402,108,416,70,416,32,416,###
355,226,377,195,409,177,421,199,394,215,374,244,ALEXS
422,175,492,182,535,236,508,245,480,206,421,196,GYMNASIUM
370,263,374,292,388,311,382,325,358,295,351,267,FITNESS
389,316,409,326,435,331,434,348,400,344,379,324,CENTRE
449,330,470,326,487,311,501,325,480,341,451,347,BOXING
493,305,509,293,514,268,530,263,523,304,505,323,SCHOOL
365,378,388,372,433,372,432,400,392,402,364,406,BOXING
443,371,482,371,525,375,529,402,475,400,440,399,SCHOOL
401,227,462,227,483,314,401,312,A
3,334,204,343,200,405,4,402,LACE
103,175,135,176,134,193,112,191,we
