202,458,216,472,232,480,226,493,206,486,192,473,TAMAN
234,483,245,488,265,494,263,509,243,506,227,496,MEGAH
266,492,283,490,300,481,311,490,294,505,269,510,PETALING
301,478,313,473,317,464,329,478,325,486,309,494,JAYA
208,402,301,408,301,422,210,413,###
336,346,726,397,734,462,335,412,###
343,433,424,443,429,495,341,486,SEKOLAH
430,442,485,447,489,497,437,496,JENIS
488,448,603,463,610,508,493,499,KEBANGSAAN
613,462,657,469,657,514,620,510,CINA
659,466,699,470,701,516,661,511,YUK
698,475,736,477,744,525,704,521,CHAI
201,339,303,348,301,364,198,349,SJKCYUKCHAI
426,515,457,519,461,535,424,532,Jalan
465,514,506,518,509,539,464,537,SS241
509,520,551,524,553,541,510,534,47301
550,525,602,528,603,549,556,546,Petaling
602,526,637,528,634,551,609,550,Jaya
634,530,695,533,693,555,634,551,Selangor
