301,734,446,734,591,734,591,788,446,788,301,788,PARKING
399,789,492,789,585,789,585,840,492,840,399,840,REAR
202,751,232,751,262,751,262,825,232,825,202,825,P
416,537,463,537,510,537,510,556,463,556,416,556,HAHNDOPS
299,788,344,788,388,788,388,838,344,838,299,838,AT
402,407,423,407,444,407,444,424,423,424,402,424,2015
365,406,383,406,400,406,400,423,383,423,365,423,EST
262,408,298,354,361,334,367,358,312,388,282,430,AUTHENTIC
361,328,414,324,457,334,450,361,418,349,375,361,ITALIAN
468,340,513,366,544,403,520,421,486,379,457,367,CUISINE
312,598,351,621,412,627,406,651,355,646,289,618,BREAKFAST
414,628,444,621,474,610,490,622,460,640,418,654,LUNCH
477,601,507,579,529,544,556,559,526,603,490,624,DINNER
232,450,477,421,621,475,619,544,358,607,184,589,gepettos
