331,349,351,349,370,349,370,367,351,367,331,367,UNDER
360,276,384,276,408,276,408,291,384,291,360,291,FARES
325,252,348,252,370,252,370,268,348,268,325,268,SPECIAL
335,298,374,298,412,298,412,338,374,338,335,338,250
374,251,393,251,411,251,411,268,393,268,374,268,OFFER
390,347,404,347,418,347,418,362,404,362,390,362,FREE
331,278,342,278,353,278,353,291,342,291,331,291,ALL
373,349,380,349,387,349,387,363,380,363,373,363,5s
172,374,196,373,226,385,218,397,196,385,173,386,Arrera
156,463,178,477,204,472,207,488,181,496,153,483,WHITBY
355,380,400,380,403,411,357,412,###
