425,282,449,258,495,258,489,283,464,282,441,308,BON
511,252,545,275,564,317,528,331,523,302,500,283,PAIN
405,324,416,303,436,317,427,338,S
445,369,481,383,514,363,533,381,480,406,433,395,COFFEE
23,367,134,364,129,437,17,447,OA
203,447,265,439,268,472,210,478,CONG
273,439,375,431,375,462,273,472,TYTNHH
374,433,433,426,433,459,372,465,MOT
439,428,526,420,526,453,439,462,THANH
528,423,598,414,600,447,525,453,VIEN
600,414,679,403,681,442,600,448,RUNG
690,400,723,398,729,439,684,444,CA
727,401,791,397,794,434,741,439,PHE
204,479,455,464,452,486,203,504,###
459,459,614,444,614,470,458,487,DT8439321753
615,450,804,434,796,462,612,476,FAX8439221753
