306,94,339,42,405,22,458,45,486,85,459,103,441,70,399,52,359,67,329,116,CALIFORNIA
329,126,350,163,389,181,391,205,332,186,301,138,STATE
400,181,441,161,463,123,487,131,459,186,408,208,PARKS
353,143,402,140,399,156,352,159,SINCE
404,139,436,142,438,156,400,156,1864
246,231,545,236,549,281,240,281,CHUMASH
186,298,436,298,437,339,184,347,PAINTED
453,293,603,292,600,343,450,342,CAVE
117,378,258,380,255,420,116,420,STATE
275,376,524,370,528,418,277,422,HISTORIC
546,377,676,374,680,416,546,418,PARk
120,462,159,462,154,501,123,503,A
165,464,420,463,423,501,166,504,CALIFORNIA
433,466,548,465,550,501,435,502,STATE
564,466,672,464,674,499,567,501,PARK
