162,565,193,565,224,565,224,585,193,585,162,585,HOME
200,648,238,648,276,648,276,666,238,666,200,666,FUDGE
173,618,238,618,302,618,302,640,238,640,173,640,HAHNDORE
185,594,238,594,290,594,290,613,238,613,185,613,ORIGINAL
462,360,539,360,616,360,616,382,539,382,462,382,HAHNDOFR
273,564,293,564,313,564,313,583,293,583,273,583,THE
180,525,237,525,293,525,293,545,237,545,180,545,HAHNDOFR
236,566,252,566,267,566,267,584,252,584,236,584,OF
271,339,525,321,793,325,789,367,528,354,276,373,HUMBUGS
145,501,234,480,322,493,318,525,229,511,153,526,HUMBUGS
