25,12,50,12,50,25,25,25
138,30,189,30,189,45,138,45
188,30,204,30,204,45,188,45
202,30,252,30,252,45,202,45
250,30,292,30,292,45,250,45
306,30,381,30,381,46,306,46
292,32,308,32,308,44,292,44
109,54,116,54,116,62,109,62
101,66,109,66,109,94,101,94
101,94,109,94,109,104,101,104
101,144,109,144,109,170,101,170
101,172,110,172,110,198,101,198
101,198,110,198,110,234,101,234
110,205,122,205,122,214,110,214
100,234,109,234,109,282,100,282
205,293,253,293,253,305,205,305
266,293,300,293,300,306,266,306
252,294,266,294,266,305,252,305
